"Guid","SBQQ__Field__c","SBQQ__FilterFormula__c","SBQQ__FilterType__c","SBQQ__FilterVariable__c","SBQQ__Index__c","SBQQ__Object__c","SBQQ__Operator__c","SBQQ__Rule__c","SBQQ__TestedFormula__c","SBQQ__TestedVariable__c","SBQQ__Value__c"
ae24e99b-6e0e-40ca-9205-b36964f6475b,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,starts with,8a1fc0b6-7bb7-4fb8-8f83-6d0deaa573c6,"#N/A","#N/A",SRV
ca1df5c9-aeae-4c88-9ea3-901964e8c693,Product Code,"#N/A",Value,"#N/A","#N/A",Quote Line,starts with,2b000913-97cf-4880-8aa1-c6515a287b70,"#N/A","#N/A",SRV
