"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
45adbabc-e1cc-45d7-a360-c59a6f18bce8,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,ffc1f95a-a52d-4b77-8aa3-1df47bba1642,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
54a73494-66c4-40db-bac9-0175562efbe6,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,8955cba1-47bf-45e4-ac90-40a0a1087172,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
56d04f81-12ee-42a3-ad8b-5cbb803abb57,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,b0235463-a0e4-420e-9259-d1191caadf9e,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
59599b0e-f465-45e2-8360-7d1b4f49f62c,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,d0a3f6d2-47b3-444c-91b3-91ba4b3ae1f1,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
5eaee6b1-c2d5-42b9-a992-183d1f650405,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,3333a499-f017-4541-aaa7-7bfb47c4a7d9,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
5f4f2a21-484b-4eec-863d-346300b592ee,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,3d642204-53fc-48ad-8c3b-6cc0a298d221,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
6b57878c-648f-469f-bc4f-5a78fafdfd09,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",1678b338-70cf-4fc1-9d7e-4d9f7a37bcd9,"#N/A",1.0,12.0,5a09d673-81e7-4bdd-8678-d4337a2498c9,true,1.0,"#N/A","#N/A",true,true,"#N/A",false,Component,"#N/A",false
71a4fd16-455b-46af-9961-c5e4804cec9a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A",1.0,10.0,b0ce08f6-4427-42c2-9d28-c4b546dcabd0,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
74f45553-58c1-42b3-bc42-eabd63a82a5c,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,2519b85a-ddf4-4686-b257-6066c4452ebe,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
79acd8be-233c-4d0a-8237-52e4a154c270,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,73b198b0-21d4-4bf0-ac39-46a84fc8f589,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
