"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
90aa1596-486e-4f3d-86ab-53eb2b348f33,Top,"#N/A",0.0,false,"#N/A",2c48c12d-4810-4292-b911-f9f12d1f201e,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",cb42940c-650b-4142-93b4-9b60011bc0d3,0.0
bd7227f8-85aa-4b61-95de-3c84bac45b30,Bottom,"#N/A",0.0,false,"#N/A",765a2dc5-f6d4-4b83-bf25-dc99ac372ccb,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",cb42940c-650b-4142-93b4-9b60011bc0d3,0.0
fad48bd0-df10-4227-823c-315fda419299,Lines,"#N/A",0.0,false,"#N/A",be3b97e0-c108-44be-a857-879d5db593ac,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",cb42940c-650b-4142-93b4-9b60011bc0d3,0.0
