"Guid","SBQQ__Active__c","SBQQ__AdvancedCondition__c","SBQQ__Body__c","SBQQ__ConditionsMet__c","SBQQ__Locked__c","SBQQ__ParentTerm__c","SBQQ__PrintOrder__c","SBQQ__Quote__c","SBQQ__StandardTerm__c","SBQQ__Status__c","SBQQ__TemplateContent__c"
2016cbc1-81b3-49e4-9c54-5f41b8f1c1ce,false,"#N/A","#N/A",All,false,"#N/A",2.0,"#N/A","#N/A",Draft,"#N/A"
a4bca632-ca12-4e4a-9105-9d199ef2451b,false,"#N/A","#N/A",All,false,"#N/A",3.0,"#N/A","#N/A",Draft,"#N/A"
b2732f7b-eade-46ec-b32f-65e37c09ca69,false,"#N/A","#N/A",All,false,"#N/A",4.0,"#N/A","#N/A",Draft,"#N/A"
c4fcfc94-b7a3-4525-bb32-34f9685ac2cb,false,"#N/A","#N/A",All,false,"#N/A",5.0,"#N/A","#N/A",Draft,"#N/A"
ec0247a6-5aba-42ac-9818-030b324dda80,false,"#N/A","#N/A",All,false,"#N/A",1.0,"#N/A","#N/A",Draft,"#N/A"
